decyear,B-ISMF-bug_rho_abovepyc,B-ISMF-bug_rho_belowpyc
10.0,1027.1941366726599,1027.7155410032228
10.083333333333334,1027.1759311910598,1027.711177342574
10.166666666666666,1027.1623238074153,1027.7119378398147
10.25,1027.1636874866642,1027.7140244552156
10.333333333333334,1027.1873405728006,1027.7126898224217
10.416666666666666,1027.2027600742686,1027.7009394261083
10.5,1027.2116436962267,1027.6988242288326
10.583333333333334,1027.2230936055569,1027.6971872282973
10.666666666666666,1027.2403073994656,1027.7012918628816
10.75,1027.2509773253528,1027.7025993847326
10.833333333333334,1027.2546056523859,1027.705633883047
10.916666666666666,1027.2374707023962,1027.7111486630338
11.0,1027.2085346456638,1027.7180636356024
11.083333333333334,1027.2083575245588,1027.7199246715684
11.166666666666666,1027.1903879766467,1027.728421961716
11.25,1027.1753595362034,1027.727228037922
11.333333333333334,1027.153579733207,1027.7234093507295
11.416666666666666,1027.1652931315734,1027.7149420622643
11.5,1027.181631249773,1027.7025591539473
11.583333333333334,1027.20597758885,1027.6902711610553
11.666666666666666,1027.21724929602,1027.695454560806
11.75,1027.2247963886525,1027.6889347147398
11.833333333333334,1027.2243893766263,1027.6969956913065
11.916666666666666,1027.21021149376,1027.7010877323557
12.0,1027.1682715888662,1027.7050174391836
12.083333333333334,1027.1557403720667,1027.7015556328583
12.166666666666666,1027.1127874343954,1027.7111970599146
12.25,1027.1221541786074,1027.707825325145
12.333333333333334,1027.1518762417018,1027.709982124315
12.416666666666666,1027.155553836741,1027.7069599626761
12.5,1027.1702266136638,1027.6967848556642
12.583333333333334,1027.1950895505704,1027.6851995748896
12.666666666666666,1027.2125349197443,1027.6886376806608
12.75,1027.2303786685732,1027.6941869084087
12.833333333333334,1027.2328137411023,1027.6936364611142
12.916666666666666,1027.2222665928205,1027.689916790715
13.0,1027.1914814005543,1027.6911392600628
13.083333333333334,1027.1639672381496,1027.6865477852332
13.166666666666666,1027.1520787140157,1027.6875576697016
13.25,1027.1250235737195,1027.6941629696933
13.333333333333334,1027.1498722101935,1027.6968383451908
13.416666666666666,1027.1585893880012,1027.6919425290864
13.5,1027.1657973420797,1027.678283079784
13.583333333333334,1027.1693313392661,1027.687520297873
13.666666666666666,1027.186449455009,1027.688310805859
13.75,1027.2074360540425,1027.690303898524
13.833333333333334,1027.2131953996263,1027.6903373543796
13.916666666666666,1027.2000841660151,1027.6910210247347
14.0,1027.1755972458716,1027.6892662525465
14.083333333333334,1027.1408035243971,1027.6889287523431
14.166666666666666,1027.1568287616183,1027.6913609930807
14.25,1027.1663582559256,1027.6956377286194
14.333333333333334,1027.1603725076693,1027.6913687202164
14.416666666666666,1027.1830479346347,1027.6809955991237
14.5,1027.1873738544189,1027.6864630159453
14.583333333333334,1027.1941592752548,1027.6881292321434
14.666666666666666,1027.2119833110244,1027.6941865481103
14.75,1027.2169506937937,1027.7002839087154
14.833333333333334,1027.2179895884533,1027.6949638786034
14.916666666666666,1027.209066921275,1027.6894286054915
15.0,1027.1845958055653,1027.6864234145107
15.083333333333334,1027.1546609235234,1027.6882467150401
15.166666666666666,1027.1136201478278,1027.6933748911138
15.25,1027.104744170202,1027.684268519631
15.333333333333334,1027.1144560914527,1027.682889281308
15.416666666666666,1027.144783333223,1027.6770272037768
15.5,1027.155491081338,1027.6848698201334
15.583333333333334,1027.1689188677944,1027.6826929646384
15.666666666666666,1027.1784005570055,1027.6939445065263
15.75,1027.1966125909591,1027.694549862289
15.833333333333334,1027.204966721387,1027.6938885431734
15.916666666666666,1027.1939384228858,1027.6938930863162
16.0,1027.1789945472108,1027.6955599201983
16.083333333333332,1027.1520520011368,1027.6916959779894
16.166666666666668,1027.1380613286153,1027.6906858605341
16.25,1027.1329570615148,1027.6898472428768
16.333333333333332,1027.1403044522237,1027.6891433416367
16.416666666666668,1027.1427298237031,1027.6820366530394
16.5,1027.1433738102564,1027.6858637090008
16.583333333333332,1027.1511705791338,1027.6901489521567
16.666666666666668,1027.1687497349337,1027.6907853339455
16.75,1027.1874089056191,1027.6924299263408
16.833333333333332,1027.1961170043485,1027.6929490103712
16.916666666666668,1027.1934918646139,1027.6947987815229
17.0,1027.1764304906176,1027.6864173427189
17.083333333333332,1027.1497641620467,1027.6864307928338
17.166666666666668,1027.1156140016953,1027.6852137490148
17.25,1027.1228316841227,1027.682593119245
17.333333333333332,1027.141999530727,1027.6820170798119
17.416666666666668,1027.1533543018286,1027.6796598287888
17.5,1027.1727168575967,1027.67721882239
17.583333333333332,1027.1826186527742,1027.678745064649
17.666666666666668,1027.1919821195165,1027.6878668365234
17.75,1027.2070579723093,1027.6876486227811
17.833333333333332,1027.2139354782264,1027.6881000350534
17.916666666666668,1027.2027513847538,1027.688893446187
18.0,1027.1809735029194,1027.6807079149426
18.083333333333332,1027.1714002337558,1027.6825126173733
18.166666666666668,1027.14984396102,1027.6834924854272
18.25,1027.1559716304887,1027.6784001685803
18.333333333333332,1027.1519162403174,1027.6767393025932
18.416666666666668,1027.1509839276293,1027.678047478655
18.5,1027.1486125260765,1027.673663857105
18.583333333333332,1027.1494604450481,1027.688096641421
18.666666666666668,1027.172567067211,1027.688671150768
18.75,1027.1913153570479,1027.6899317371033
18.833333333333332,1027.2073571520295,1027.6848952400585
18.916666666666668,1027.2021201674245,1027.6852595273056
19.0,1027.1726867038176,1027.6861609110913
19.083333333333332,1027.1563137683008,1027.6886181064062
19.166666666666668,1027.1457014363946,1027.6890555200816
19.25,1027.128884355547,1027.687693451372
19.333333333333332,1027.1238371243387,1027.6804561878837
19.416666666666668,1027.119652593454,1027.683248171947
19.5,1027.116264686525,1027.685037312849
19.583333333333332,1027.141371183184,1027.6880148751736
19.666666666666668,1027.1655361400854,1027.6888228841951
19.75,1027.179970507781,1027.6872977376688
19.833333333333332,1027.1883820368248,1027.6870574770437
