decyear,B-ISMF-bug_T_z20,B-ISMF-bug_S_z20
10.0,-1.6786973731857415,34.40427754682791
10.083333333333334,-1.6338608465121187,34.400795534751694
10.166666666666666,-1.4894166715292525,34.40007092531756
10.25,-1.3182045386472327,34.40325367850565
10.333333333333334,-1.1564778289669289,34.40392851179463
10.416666666666666,-0.9893925469293106,34.40427624994019
10.5,-0.8565397126782754,34.40453434952453
10.583333333333334,-0.8428619146698761,34.403304165265446
10.666666666666666,-0.9030402065489559,34.39972470865817
10.75,-0.9754842000438336,34.394515219155366
10.833333333333334,-1.1369669597126462,34.38833199108794
10.916666666666666,-1.2178782178150123,34.38538740985262
11.0,-1.2503985055486249,34.38367724047531
11.083333333333334,-1.2717698517756748,34.38219020448915
11.166666666666666,-1.2195813032160525,34.38335176939773
11.25,-1.1836426113754186,34.38536970731407
11.333333333333334,-1.070568122404257,34.38992887898057
11.416666666666666,-0.8931829143549626,34.39687157235495
11.5,-0.6889656511693695,34.40745006331114
11.583333333333334,-0.639360885171076,34.41838912792304
11.666666666666666,-0.5973040620181121,34.428824228427594
11.75,-0.7104103617680392,34.42919519217961
11.833333333333334,-1.0564073959290117,34.42045913607756
11.916666666666666,-1.2157594324222214,34.415132862482544
12.0,-1.26884823548306,34.409856436159366
12.083333333333334,-1.248536762101666,34.404457863992896
12.166666666666666,-1.2506485030161174,34.398280743662724
12.25,-1.2722802178184034,34.39358310101952
12.333333333333334,-1.3165774740799616,34.3928063447937
12.416666666666666,-1.261782506717872,34.38840281853844
12.5,-1.2138834784636667,34.38590705499076
12.583333333333334,-1.1669446848078588,34.38339563063066
12.666666666666666,-1.1845776357657671,34.37945017693466
12.75,-1.2145372286185039,34.37489869346185
12.833333333333334,-1.2232077608780283,34.37071429667589
12.916666666666666,-1.2316365387433204,34.369409908060184
13.0,-1.207152237552022,34.368441318490554
13.083333333333334,-1.1581473708201226,34.366556725888785
13.166666666666666,-1.1122455290166162,34.366466031488834
13.25,-1.0447747312164783,34.36814130328148
13.333333333333334,-0.9929080721203571,34.37000519038545
13.416666666666666,-0.9538631283760406,34.37023097328588
13.5,-0.9013711986847088,34.37223332542744
13.583333333333334,-0.8469597651129452,34.371561240206574
13.666666666666666,-1.0298026842814916,34.36539632476043
13.75,-1.2973389491672822,34.358716502561066
13.833333333333334,-1.40120258011108,34.354456854008355
